GitHub_ID,Titulo,Tipo,Descripción
#92,Lenguaje de programación,Requerimientos para el desarrollo.,"Se utilizará el lenguaje de programación Java en su última versión estable, debido a que es uno de los lenguajes más utilizados para el desarrollo de aplicación Orientada a Objetos. Además, es un lenguaje de uso libre que no requiere el pago de ningún tipo de licencias de uso."
#92,Lenguaje de programación,Requerimientos para el desarrollo.,"Se utilizará el lenguaje de programación Java en su última versión estable, debido a que es uno de los lenguajes más utilizados para el desarrollo de aplicación Orientada a Objetos. Además, es un lenguaje de uso libre que no requiere el pago de ningún tipo de licencias de uso."
#93,Motor de Base de datos,Requerimientos para el desarrollo.,"Se utilizara el motor de base de datos libre MySQL en su última versión estable, debido a la gran compatibilidad y cantidad de información disponible de su uso junto con el lenguaje Java."
#94,Administrar Folios,Requerimientos Funcionales,Requerimientos asociados con la gestión de folios del protocolo
#95,Cargar folios del Colegio Notarial,Requerimientos Funcionales,"Permitir cargar los folios provistos por el Colegio Notarial, asignando numeración propia"
#96,Control de numeración correlativa de folios,Requerimientos Funcionales,"Controlar que la numeración de los folios sea correlativa y no falten folios"
#97,Manejo de folios dañados (errose),Requerimientos Funcionales,"Permitir registrar folios dañados durante la impresión y etiquetarlos como errose"
#98,Manejo de folios no usados (no pasó),Requerimientos Funcionales,"Permitir registrar folios impresos pero no usados y etiquetarlos como no pasó"
#99,Seguimiento de disponibilidad de folios,Requerimientos Funcionales,"Permitir conocer qué folios están disponibles, usados, dañados o no usados"
#100,Administrar Cuadernos,Requerimientos Funcionales,Requerimientos asociados con la organización de folios en cuadernos
#101,Generar cuadernos,Requerimientos Funcionales,"Los folios se agrupan de a diez en carpetas llamadas cuadernos"
#102,Numerar cuadernos,Requerimientos Funcionales,"A los cuadernos se les asigna una numeración correlativa (de 1 a N)"
#103,Generar carátula de cuaderno,Requerimientos Funcionales,"Los cuadernos tienen carátula con: Año, Registro, número de cuaderno y descripción"
#104,Administrar Carpetas de Trámite,Requerimientos Funcionales,Requerimientos asociados con la gestión de carpetas de trámite
#105,Generar carpeta de trámite,Requerimientos Funcionales,"Cuando un cliente solicita un trámite, se genera una carpeta con número único"
#106,Estados de carpeta,Requerimientos Funcionales,"Gestionar estados de carpeta: activa, espera, archivada"
#107,Estados y Transiciones del Trámite,Requerimientos Funcionales,"Requerimientos asociados con la gestión de estados y transiciones del trámite"
#108,Definir estados del trámite,Requerimientos Funcionales,"Definir los estados que puede tener un trámite a lo largo de su ciclo de vida"
#109,Definir transiciones válidas de estado,Requerimientos Funcionales,"Definir qué transiciones de estado son válidas para cada tipo de trámite"
#110,Registrar historial de cambios de estado,Requerimientos Funcionales,"Registrar cada cambio de estado con fecha, usuario y observaciones"
#111,Protocolo Auxiliar,Requerimientos Funcionales,"Requerimientos específicos para trámites del Protocolo Auxiliar (no se generan carpetas)"
#112,Flujo de Trámite Protocolo Auxiliar,Requerimientos Funcionales,"Gestionar el flujo simplificado de 5 pasos del Protocolo Auxiliar"
#113,Administrar Suplencias,Requerimientos Funcionales,Requerimientos asociados con la gestión de suplencias de escribanos
#114,Registrar suplentes del escribano,Requerimientos Funcionales,"Registrar los escribanos suplentes que pueden actuar en representación del titular"
#115,Asignar suplente a una gestión,Requerimientos Funcionales,"Permitir asignar un escribano suplente a una gestión específica"
#116,Historial de suplencias,Requerimientos Funcionales,"Mantener un historial completo de las suplencias de cada escribano"
#117,Generar Minuta de Inscripción,Requerimientos Funcionales,"Generar el certificado minuta de inscripción para operaciones con inmuebles"
#118,Seguimiento de Presentación para Inscripción,Requerimientos Funcionales,"Registrar presentación, devolución e inscripción del testimonio"
#119,Diferencias entre Protocolo Principal y Auxiliar,Requerimientos Funcionales,"Definir y gestionar las diferencias entre Protocolo Principal y Auxiliar"
#120,Impresión de Testimonios,Requerimientos Funcionales,"Impresión del testimonio en hojas especiales firmado por el escribano"
#121,Control de Numeración de Escrituras,Requerimientos Funcionales,"La numeración de las escrituras debe ser única y correlativa"
