CU,Modulo,Grado,Estado,% Progreso,Doc Sistema,% Progreso,Doc. Código,% Progreso,Auditoria,Concurrencia,Observaciones,GitHub_ID
CU51 – Modificar escribano,Administración,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#204
CU52 – Modificar Escritura,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,ERROR,,#205
CU53 – Modificar Gestión,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#206
CU54 – Modificar Persona,Clientes,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#207
CU55 – Modificar Plantilla Presupuesto,Administración,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,ERROR,,#208
CU56 – Registrar inscripción,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,,,#209,#209
CU57 – Eliminar tipo de trámite,Administración,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#210
CU58 – Eliminar tipo de folio,Administración,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#211
CU59 – Consultar Suplencias,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#212
CU60 – Buscar Presupuesto,Presupuestos,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#213
CU61 – Buscar persona o cliente,Clientes,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#214
CU62 – Buscar Escritura,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#215
CU63 – Buscar Folios,Protocolos,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#216
CU64 – Buscar Tipo de trámite,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#217
CU65 – Buscar Tipos de documentos,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#218
CU66 – Buscar Conceptos,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#219
CU67 – Buscar Estados de Gestión,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#220
CU68 – Buscar tipos de folios.,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,,#221
CU69 – Gestión de Inmuebles,Inmuebles,Necesario,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#292
CU70 – Gestión de Copias,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,Listo,No Aplicable,,#243
CU71 – Gestión de Ítems,Administración,Necesario,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,,#300
