CU,Modulo,Grado,Estado,% Progreso,Doc Sistema,% Progreso,Doc. Código,% Progreso,Auditoria,Concurrencia,Observaciones
CU53 - Modificar Gestión,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU54 - Modificar Persona,Clientes,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU55 – Modificar Plantilla Presupuesto,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,ERROR,
CU56 – Registrar inscripción,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,,,
CU57 – Eliminar tipo de trámite,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU58 – Eliminar Tipo de folio,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU59 – Consultar Suplencias,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU60 – Buscar Presupuesto,Presupuestos,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU61 – Buscar persona o cliente,Clientes,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU62 – Buscar Escritura,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU63 – Buscar Folios,Protocolos,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU64 – Buscar Tipo de tramite,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU65 – Buscar Tipos de documentos,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU66 – Buscar Conceptos,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU67 – Buscar Estados de Gestión,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU68 – Buscar tipos de folios,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
